,index,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
6048,8,6049,PVBC,"Provident Bancorp, Inc.",Financial,Banks - Regional,USA,288.67M,19.36,16.30,-0.31%,11364,6049,288.67M,0.98%,1.00%,6.40%,18.80%,-,-,0.00,0.00,-,87.00%,23.70%,Jul 29/a,16.30,-0.31%,11364,19.36,16.30,-,4.57,1.18,2.04,17.39,10.50%,7.53%,27.10%,-,18.90%,16.78M,15.58M,0.70%,0.00%,44.80%,-0.14%,1.01%,4.77,32.90K,-0.43%,2.26%,0.80%,8.88%,99.27%,35.83%,1.57%,2.52%,2.00,32.90K,0.35,1.11,0.36,2.23%,1.01%,8.92%,-13.76%,102.48%,54.55,0.25%,-0.55%
6049,9,6050,PVG,Pretium Resources Inc.,Basic Materials,Gold,Canada,2.47B,-,10.38,1.57%,700736,6050,2.47B,-,-1.50%,-2.30%,11.40%,1.00,0.90,0.04,0.24,36.70%,33.40%,-3.20%,Aug 12/a,10.38,1.57%,700736,-,20.76,-,3.15,1.86,9.62,8.05,-193.60%,733.30%,-,-,-,187.86M,187.81M,0.05%,0.00%,73.45%,-,4.50%,6.83,1.24M,7.34%,3.80%,12.95%,-6.57%,-17.68%,-9.58%,3.57%,3.23%,2.00,1.24M,0.57,0.80,0.33,5.37%,6.93%,-0.27%,-24.01%,25.21%,61.35,-1.33%,2.94%
6050,10,6051,PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,USA,7.20B,25.83,104.75,-2.10%,755597,6051,7.20B,-,2.30%,6.10%,-12.30%,1.50,0.90,0.55,0.56,55.70%,7.20%,3.40%,Aug 31/a,104.75,-2.10%,755597,25.83,9.84,-,0.84,1.49,6.25,13.04,-385.30%,11.22%,-34.00%,-5.57%,-2.30%,71.40M,70.51M,0.80%,-22.58%,98.97%,2.72%,2.31%,1.59,1.02M,-1.35%,-5.44%,-2.77%,-7.38%,54.93%,11.57%,3.69%,3.57%,2.40,1.02M,0.74,2.31,4.68,-3.55%,-4.08%,-0.36%,-14.10%,82.65%,44.82,-1.57%,-0.54%
6051,11,6052,PVI,Invesco VRDO Tax-Free ETF,Financial,Exchange Traded Fund,USA,-,-,24.88,-0.06%,1989,6052,-,0.04%,-,-,-,-,-,-,-,-,-,-,-,24.88,-0.06%,1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.75K,-0.04%,-0.02%,-0.02%,-0.02%,-0.16%,-0.03%,0.05%,0.08%,-,10.75K,0.19,-,0.02,-0.02%,-0.02%,-0.06%,-0.38%,0.26%,48.20,0.02%,-0.08%
6052,12,6053,PVL,Permianville Royalty Trust,Energy,Oil & Gas E&P,USA,67.71M,510.00,2.04,2.00%,76496,6053,67.71M,0.49%,0.20%,0.20%,7.10%,0.00,0.00,0.00,0.00,-,-,72.60%,-,2.04,2.00%,76496,510.00,-,-,338.54,1.00,-,-,-47.20%,-,-18.30%,-,-17.40%,33.00M,22.51M,31.80%,0.00%,4.20%,21.01%,0.38%,1.41,59.97K,6.81%,12.70%,4.62%,43.66%,204.48%,178.88%,2.50%,2.91%,-,59.97K,1.28,1.80,0.05,5.91%,10.29%,28.47%,-1.21%,343.48%,65.99,0.99%,1.00%
6053,13,6054,PW,Power REIT,Real Estate,REIT - Diversified,USA,195.88M,42.39,59.00,7.51%,57842,6054,195.88M,-,5.80%,11.80%,6.10%,-,-,0.45,0.46,-,62.00%,54.90%,-,59.00,7.51%,57842,42.39,18.73,-,29.68,3.85,6.80,-,169.10%,62.37%,33.70%,-,16.70%,3.31M,2.27M,1.20%,0.00%,31.80%,-0.66%,0.57%,0.84,15.21K,18.07%,31.27%,42.48%,22.66%,208.58%,120.89%,5.16%,5.38%,2.00,15.21K,3.80,0.12,2.66,21.30%,33.70%,44.22%,5.56%,225.61%,80.60,6.31%,1.13%
6054,14,6055,PWB,Invesco Dynamic Large Cap Growth ETF,Financial,Exchange Traded Fund,USA,-,-,74.58,-0.65%,13933,6055,-,-,-,-,-,-,-,-,-,-,-,-,-,74.58,-0.65%,13933,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.59K,-0.15%,-5.07%,-1.45%,3.62%,18.91%,10.36%,1.39%,1.23%,-,34.59K,0.40,-,1.06,-2.10%,-3.00%,3.57%,-5.77%,25.49%,41.86,-0.96%,0.31%
6055,15,6056,PWFL,"PowerFleet, Inc.",Technology,Communication Equipment,USA,243.13M,-,6.78,-0.66%,49796,6056,243.13M,-,-4.90%,-12.00%,-4.20%,2.30,2.00,0.20,0.25,50.70%,-1.20%,-9.10%,Aug 05/b,6.78,-0.66%,49796,-,61.64,-,2.03,2.31,6.09,67.54,22.10%,145.80%,10.30%,30.00%,22.10%,34.90M,33.75M,3.10%,0.23%,61.20%,-2.68%,1.66%,4.86,115.26K,0.89%,-2.59%,-1.02%,-15.36%,13.76%,-8.75%,2.83%,2.62%,1.50,115.26K,0.43,1.82,0.19,-0.90%,-2.03%,-9.09%,-29.01%,17.30%,46.17,-0.44%,-0.22%
6056,16,6057,PWOD,"Penns Woods Bancorp, Inc.",Financial,Banks - Regional,USA,170.67M,10.93,23.87,0.93%,6508,6057,170.67M,5.36%,0.80%,9.40%,24.10%,-,-,0.05,0.09,-,79.70%,25.90%,Jul 21,23.87,0.93%,6508,10.93,-,-,2.87,1.01,0.64,24.04,-2.00%,-,2.10%,-,6.30%,7.06M,6.74M,1.90%,11.94%,21.30%,-24.23%,0.49%,2.55,13.09K,0.93%,-0.13%,1.14%,0.08%,9.85%,-8.23%,1.81%,1.72%,-,13.09K,0.50,0.71,0.43,0.31%,0.41%,-1.25%,-15.32%,20.19%,51.42,0.55%,0.38%
6057,17,6058,PWP,Perella Weinberg Partners,Financial,Capital Markets,USA,1.28B,-,13.99,0.29%,121296,6058,1.28B,2.00%,-5.40%,-9.30%,-,1.80,1.80,0.00,0.00,96.90%,-,-4.10%,-,13.99,0.29%,121296,-,12.20,-,3.00,4.93,3.65,46.75,-,-20.35%,-,-,-,42.96M,41.92M,17.90%,0.00%,84.50%,26.05%,5.30%,4.90,453.78K,4.56%,-0.14%,6.31%,27.18%,-,23.81%,3.24%,3.29%,1.70,453.78K,0.27,-,0.46,3.16%,3.43%,15.42%,-19.78%,179.80%,57.99,0.07%,0.22%
6058,18,6059,PWPPW,Perella Weinberg Partners,Financial,Capital Markets,USA,-,-,3.50,0.00%,41121,6059,-,-,-,-,-,-,-,-,-,-,-,-,-,3.50,0.00%,41121,-,-,-,-,-,-,-,-,-,-,-,-,-,27.43M,-,-,-,-,-,-,43.52K,10.41%,-1.96%,16.67%,159.26%,-,59.82%,5.35%,5.55%,-,43.52K,0.94,-,0.23,4.51%,5.90%,52.06%,-12.50%,246.53%,55.91,-0.28%,0.29%
6059,19,6060,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,USA,15.31B,30.28,112.77,-0.55%,609484,6060,15.31B,0.21%,6.30%,12.40%,8.70%,1.80,1.70,0.30,0.30,15.40%,5.90%,4.60%,Aug 05/b,112.77,-0.55%,609484,30.28,20.39,1.96,1.32,3.53,72.04,41.19,12.60%,20.95%,37.80%,15.44%,8.10%,140.28M,137.57M,0.30%,-5.35%,94.50%,1.16%,1.95%,2.50,1.07M,-3.34%,-1.51%,24.43%,20.93%,91.14%,56.58%,2.94%,2.61%,1.80,1.07M,0.57,1.17,3.22,-2.53%,6.45%,23.57%,-5.79%,95.07%,51.13,-0.37%,-0.18%
6060,0,6061,PWS,Pacer WealthShield ETF,Financial,Exchange Traded Fund,USA,-,-,32.37,-0.41%,7869,6061,-,0.68%,-,-,-,-,-,-,-,-,-,-,-,32.37,-0.41%,7869,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.09,4.97K,0.46%,-0.11%,-1.09%,2.89%,22.93%,10.96%,0.95%,0.79%,-,4.97K,1.58,-,0.33,0.48%,0.17%,2.19%,-3.47%,30.20%,51.50,-0.41%,0.00%
6061,1,6062,PWSC,"PowerSchool Holdings, Inc.",Technology,Software - Application,USA,4.62B,-,23.38,-4.69%,176285,6062,4.62B,-,-,-,0.80%,0.30,0.30,0.88,0.94,57.00%,7.20%,-3.90%,Sep 09/a,23.38,-4.69%,176285,-,41.02,-,9.33,-,205.41,-,48.60%,18.70%,-,29.70%,-,197.68M,156.94M,1.60%,0.00%,58.24%,-,0.77%,1.15,1.05M,-5.34%,-26.91%,-,-,-,29.89%,5.18%,5.64%,2.00,1.05M,0.17,-,1.53,-14.95%,-15.43%,-14.85%,-36.05%,33.07%,33.99,-4.57%,-0.12%
6062,2,6063,PWV,Invesco Dynamic Large Cap Value ETF,Financial,Exchange Traded Fund,USA,-,-,46.03,0.57%,15468,6063,-,-,-,-,-,-,-,-,-,-,-,-,-,46.03,0.57%,15468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.22K,2.20%,2.40%,2.88%,6.01%,31.25%,19.37%,1.08%,1.16%,-,25.22K,0.61,-,0.57,2.58%,2.07%,6.41%,-0.20%,41.37%,60.29,0.48%,0.09%
6063,3,6064,PWZ,Invesco California AMT-Free Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,27.68,-0.05%,161278,6064,-,2.28%,-,-,-,-,-,-,-,-,-,-,-,27.68,-0.05%,161278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.70K,-0.27%,-1.23%,-2.14%,-0.61%,1.00%,-1.13%,0.15%,0.19%,-,71.70K,2.25,-,0.06,-0.71%,-1.20%,-1.10%,-2.39%,1.37%,19.71,0.09%,-0.14%
6064,4,6065,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,44.90B,214.06,193.08,4.56%,3793841,6065,44.90B,1.65%,1.00%,1.60%,1.50%,0.60,0.50,0.31,0.31,44.60%,20.40%,2.30%,Aug 02/a,193.08,4.56%,3793841,214.06,10.21,-,4.01,2.00,183.27,19.74,-126.30%,50.41%,7.50%,-,19.50%,234.00M,228.90M,0.20%,0.00%,88.80%,8.99%,2.86%,3.21,2.04M,10.53%,28.46%,22.93%,33.14%,115.78%,69.53%,3.32%,3.17%,1.90,2.04M,1.86,1.83,5.88,17.90%,24.96%,29.02%,4.44%,152.13%,79.37,3.05%,1.47%
6065,5,6066,PXE,Invesco Dynamic Energy Exploration & Production ETF,Financial,Exchange Traded Fund,USA,-,-,20.67,2.89%,220600,6066,-,-,-,-,-,-,-,-,-,-,-,-,-,20.67,2.89%,220600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.34K,6.66%,25.05%,15.09%,45.26%,153.93%,103.85%,2.69%,2.75%,-,77.34K,2.85,-,0.60,13.46%,23.41%,34.03%,0.93%,198.70%,74.44,1.67%,1.19%
6066,6,6067,PXF,Invesco FTSE RAFI Developed Markets ex-U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,47.34,0.19%,27157,6067,-,1.96%,-,-,-,-,-,-,-,-,-,-,-,47.34,0.19%,27157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.14K,0.51%,-1.97%,-2.03%,0.92%,29.20%,11.55%,0.81%,0.76%,-,57.14K,0.48,-,0.51,-0.36%,-1.30%,0.68%,-6.03%,39.36%,47.78,-0.06%,0.25%
6067,7,6068,PXH,Invesco FTSE RAFI Emerging Markets ETF,Financial,Exchange Traded Fund,USA,-,-,22.75,0.40%,197693,6068,-,2.55%,-,-,-,-,-,-,-,-,-,-,-,22.75,0.40%,197693,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420.33K,1.20%,-1.94%,-0.78%,2.20%,26.74%,7.51%,0.82%,0.87%,-,420.33K,0.47,-,0.29,0.75%,0.21%,0.10%,-6.72%,30.52%,52.84,0.13%,0.26%
6068,8,6069,PXI,Invesco DWA Energy Momentum ETF,Financial,Exchange Traded Fund,USA,-,-,33.69,1.94%,59504,6069,-,0.45%,-,-,-,-,-,-,-,-,-,-,-,33.69,1.94%,59504,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119.89K,5.74%,28.78%,14.83%,42.15%,148.01%,91.53%,2.98%,3.26%,-,119.89K,0.50,-,1.12,14.54%,26.58%,31.87%,-0.05%,187.46%,73.65,0.96%,0.97%
6069,9,6070,PXJ,Invesco Dynamic Oil & Gas Services ETF,Financial,Exchange Traded Fund,USA,-,-,3.75,2.18%,218018,6070,-,-,-,-,-,-,-,-,-,-,-,-,-,3.75,2.18%,218018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160.62K,4.17%,16.82%,-1.06%,17.19%,78.57%,28.42%,2.82%,3.12%,-,160.62K,1.36,-,0.12,9.59%,13.62%,7.82%,-14.58%,111.27%,66.28,0.81%,1.36%
6070,10,6071,PXLW,"Pixelworks, Inc.",Technology,Semiconductors,USA,227.59M,-,4.35,-6.25%,693195,6071,227.59M,-,-41.10%,-59.40%,-50.20%,2.90,2.80,0.00,0.00,47.10%,-64.50%,-65.70%,Aug 10/a,4.35,-6.25%,693195,-,-,-,5.54,5.12,9.64,-,-171.70%,51.90%,-9.10%,15.00%,-7.20%,52.28M,48.59M,2.50%,0.23%,28.90%,-14.45%,4.37%,0.90,2.35M,-9.19%,-20.04%,43.09%,41.69%,98.63%,54.26%,5.28%,7.17%,2.30,2.35M,0.30,2.48,0.43,-13.37%,-8.42%,18.93%,-44.94%,135.48%,40.85,-6.45%,0.22%
6071,11,6072,PXQ,Invesco Dynamic Networking ETF,Financial,Exchange Traded Fund,USA,-,-,92.88,-1.03%,268,6072,-,-,-,-,-,-,-,-,-,-,-,-,-,92.88,-1.03%,268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.78K,0.33%,-3.05%,1.44%,7.33%,30.25%,9.99%,0.82%,0.52%,-,0.78K,0.34,-,1.17,-0.69%,-1.64%,4.63%,-5.67%,40.20%,47.49,-0.66%,-0.37%
6072,12,6073,PXS,Pyxis Tankers Inc.,Industrials,Marine Shipping,Greece,29.66M,-,0.80,-3.29%,966694,6073,29.66M,-,-,-,-2.20%,2.00,2.00,0.89,1.00,30.10%,-,-,Aug 09/b,0.80,-3.29%,966694,-,-,-,1.46,0.46,1.79,-,17.70%,-,-29.80%,-,-8.10%,29.22M,16.61M,49.19%,0.00%,10.10%,-51.13%,0.85%,0.15,958.69K,1.58%,-0.91%,-5.86%,-11.20%,-14.62%,-3.30%,13.89%,9.57%,3.00,958.69K,1.01,-0.46,0.07,2.50%,7.97%,-15.99%,-82.55%,29.27%,52.92,-2.13%,-1.18%
6073,13,6074,PYCR,"Paycor HCM, Inc.",Technology,Software - Application,USA,5.91B,-,34.95,-2.81%,381781,6074,5.91B,-,-,-,-10.00%,1.00,1.00,0.08,0.08,56.20%,-24.70%,-27.50%,Aug 31/a,34.95,-2.81%,381781,-,151.96,-,16.75,-,2272.42,-,-7.50%,21.10%,-,2.71%,-,169.05M,-,0.30%,0.00%,-,-,-,0.52,653.36K,-3.67%,6.55%,-,-,-,34.17%,5.90%,6.51%,2.00,653.36K,0.58,-,2.03,4.70%,3.57%,5.78%,-11.98%,45.63%,53.64,-3.40%,0.61%
6074,14,6075,PYN,PIMCO New York Municipal Income Fund III,Financial,Closed-End Fund - Debt,USA,61.00M,36.72,10.65,4.31%,1809,6075,61.00M,4.04%,-,-,-,-,-,-,-,-,-,-,-,10.65,4.31%,1809,36.72,-,-,17.63,1.16,-,-,-,-,-,-,-,5.73M,-,0.02%,0.00%,7.10%,-,-,1.66,4.82K,1.53%,5.55%,1.82%,7.77%,20.20%,19.26%,2.16%,1.73%,-,4.82K,0.37,-,0.23,4.31%,3.19%,6.39%,-3.18%,27.70%,60.75,1.42%,2.85%
6075,15,6076,PYPD,PolyPid Ltd.,Healthcare,Biotechnology,Israel,143.70M,-,7.57,-0.17%,28793,6076,143.70M,-,-46.00%,-48.20%,-,11.40,11.40,0.00,0.00,-,-,-,Aug 11/b,7.57,-0.17%,28793,-,-,-,-,2.50,3.01,-,-420.40%,-7.10%,-20.50%,-,-,18.75M,16.18M,13.71%,0.00%,19.40%,-2.95%,0.09%,0.54,28.03K,-1.53%,-6.46%,-10.76%,-18.54%,-29.28%,-23.56%,6.98%,5.70%,1.80,28.03K,1.03,-,0.42,-2.42%,-6.72%,-19.27%,-54.14%,8.88%,43.97,0.76%,-0.92%
6076,16,6077,PYPE,UBS ETRACS NYSE Pickens Core Midstream Index ETN,Financial,Exchange Traded Fund,USA,-,-,19.43,1.40%,211,6077,-,6.59%,-,-,-,-,-,-,-,-,-,-,-,19.43,1.40%,211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.28K,3.65%,8.07%,-2.35%,17.27%,58.99%,37.54%,0.35%,0.16%,-,3.28K,0.06,-,0.25,5.71%,7.62%,13.12%,-5.71%,78.44%,65.51,1.42%,-0.02%
6077,17,6078,PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,USA,300.45B,63.51,260.06,-1.32%,4024255,6078,300.45B,-,6.90%,24.70%,8.40%,1.30,1.30,0.43,0.43,48.40%,17.20%,20.40%,Jul 28/a,260.06,-1.32%,4024255,63.51,44.55,2.63,12.60,14.60,24.24,73.35,71.00%,24.03%,28.80%,24.15%,18.30%,1.17B,1.17B,0.10%,-8.85%,82.40%,-0.06%,0.94%,1.82,6.06M,-1.73%,-9.35%,-14.16%,-3.33%,34.70%,11.04%,3.11%,2.42%,1.90,6.06M,0.66,1.20,7.03,-4.04%,-5.70%,-2.17%,-16.15%,48.77%,39.78,-1.92%,0.61%
6078,18,6079,PYR,PyroGenesis Canada Inc.,Industrials,Specialty Industrial Machinery,Canada,840.13M,30.30,4.03,0.25%,54873,6079,840.13M,-,31.50%,40.40%,-4.60%,4.00,4.00,0.08,0.09,53.80%,-14.50%,73.50%,-,4.03,0.25%,54873,30.30,-,-,28.48,11.19,46.42,-,495.20%,-,45.80%,-,23.30%,166.29M,82.09M,49.25%,0.00%,0.47%,-,1.50%,7.22,170.63K,-2.18%,-1.71%,-18.59%,-35.00%,29.17%,42.65%,2.23%,5.74%,-,170.63K,0.32,2.35,0.21,-2.76%,-0.49%,-19.43%,-66.42%,83.51%,46.90,0.00%,0.25%
6079,19,6080,PYZ,Invesco DWA Basic Materials Momentum ETF,Financial,Exchange Traded Fund,USA,-,-,86.31,-0.68%,31625,6080,-,0.50%,-,-,-,-,-,-,-,-,-,-,-,86.31,-0.68%,31625,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.25K,0.35%,-2.38%,-2.58%,4.49%,43.92%,20.61%,1.77%,2.09%,-,23.25K,1.36,-,1.97,0.55%,-2.10%,2.51%,-10.26%,53.26%,49.13,-1.08%,0.40%
6080,0,6081,PZA,Invesco National AMT-Free Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,26.80,-0.19%,115876,6081,-,2.35%,-,-,-,-,-,-,-,-,-,-,-,26.80,-0.19%,115876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299.18K,-0.41%,-1.33%,-2.51%,-0.52%,1.59%,-1.14%,0.16%,0.18%,-,299.18K,0.39,-,0.05,-0.84%,-1.36%,-1.17%,-2.58%,2.02%,25.17,-0.04%,-0.15%
6081,1,6082,PZC,PIMCO California Municipal Income Fund III,Financial,Closed-End Fund - Debt,USA,245.44M,19.51,10.97,-0.58%,39461,6082,245.44M,4.19%,-,-,-,-,-,-,-,-,-,-,-,10.97,-0.58%,39461,19.51,-,-,16.40,1.07,-,-,-,-,-,-,-,22.38M,-,-,-,5.81%,-,-,0.17,15.14K,-1.56%,-1.38%,-5.54%,2.30%,2.13%,6.99%,1.27%,1.20%,-,15.14K,2.61,-,0.13,-0.86%,-2.59%,0.33%,-6.83%,10.79%,42.45,-0.22%,-0.36%
6082,2,6083,PZG,Paramount Gold Nevada Corp.,Basic Materials,Gold,USA,33.41M,-,0.83,0.50%,30192,6083,33.41M,-,-11.10%,-12.50%,-,4.50,4.50,0.09,0.09,-63.60%,-,-,-,0.83,0.50%,30192,-,-,-,111.36,0.66,10.78,-,28.70%,6.30%,23.30%,-,14.60%,37.78M,32.62M,0.10%,72.37%,4.70%,-6.58%,0.65%,1.83,115.24K,0.62%,-6.13%,-14.05%,-18.31%,-31.81%,-29.48%,6.16%,5.68%,1.70,115.24K,0.26,1.91,0.05,0.80%,-2.91%,-18.33%,-48.11%,8.54%,48.99,-2.93%,3.53%
6083,3,6084,PZN,"Pzena Investment Management, Inc",Financial,Asset Management,USA,733.62M,12.00,10.40,-1.52%,49149,6084,733.62M,1.15%,8.70%,50.20%,160.30%,-,-,0.00,0.03,-,50.10%,8.90%,Jul 21/b,10.40,-1.52%,49149,12.00,-,0.63,4.24,5.05,13.71,11.44,351.70%,-,0.70%,19.00%,3.50%,17.26M,-,1.99%,0.00%,61.30%,-0.54%,-,3.12,52.14K,2.97%,3.28%,-4.59%,-3.61%,80.24%,42.47%,3.76%,3.51%,-,52.14K,0.94,1.36,0.36,3.88%,-1.28%,1.11%,-14.26%,114.43%,53.82,-1.98%,0.47%
6084,4,6085,PZT,Invesco New York AMT-Free Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,25.92,-0.07%,8064,6085,-,2.47%,-,-,-,-,-,-,-,-,-,-,-,25.92,-0.07%,8064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.09K,-0.27%,-1.61%,-2.70%,-0.25%,1.81%,-0.88%,0.26%,0.27%,-,10.09K,0.80,-,0.07,-0.83%,-1.41%,-1.08%,-3.01%,2.55%,23.78,-0.10%,0.03%
6085,5,6086,PZZA,"Papa John's International, Inc.",Consumer Cyclical,Restaurants,USA,4.52B,-,124.55,-2.24%,165437,6086,4.52B,1.12%,-3.30%,11.60%,90.90%,0.80,0.70,-,-,31.10%,6.90%,-1.50%,Aug 05/b,124.55,-2.24%,165437,-,36.20,-,2.29,-,46.97,29.40,628.70%,10.79%,-7.50%,15.00%,2.10%,34.73M,32.03M,1.00%,-66.37%,-,10.80%,4.39%,4.02,350.11K,-2.67%,-3.25%,13.12%,32.75%,54.05%,46.79%,2.50%,2.42%,1.80,350.11K,0.47,1.02,3.05,-2.88%,-0.75%,19.44%,-5.91%,70.34%,43.69,-2.24%,0.00%
6086,6,6087,QABA,First Trust NASDAQ ABA Community Bank Index Fund,Financial,Exchange Traded Fund,USA,-,-,58.25,0.24%,7877,6087,-,1.73%,-,-,-,-,-,-,-,-,-,-,-,58.25,0.24%,7877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.58K,1.46%,8.31%,6.63%,1.09%,63.79%,30.11%,1.15%,1.68%,-,24.58K,0.32,-,0.94,6.15%,6.40%,6.69%,-5.48%,71.85%,67.03,0.26%,-0.02%
6087,7,6088,QADA,QAD Inc.,Technology,Software - Application,USA,1.84B,286.79,87.47,0.10%,444112,6088,1.84B,0.33%,2.10%,5.60%,9.10%,1.20,1.20,0.00,0.11,60.10%,1.90%,2.10%,-,87.47,0.10%,444112,286.79,60.74,28.68,5.61,15.68,13.46,58.50,164.80%,6.43%,2.50%,10.00%,2.10%,20.87M,12.65M,27.80%,0.00%,58.90%,-0.51%,2.06%,1.78,146.79K,0.11%,0.33%,0.89%,14.85%,96.74%,38.45%,0.30%,0.21%,3.00,146.79K,3.03,1.30,0.20,0.12%,0.37%,15.65%,-1.73%,111.64%,61.78,0.03%,0.07%
6088,8,6089,QAI,IQ Hedge Multi-Strategy Tracker ETF,Financial,Exchange Traded Fund,USA,-,-,31.85,0.09%,33433,6089,-,1.95%,-,-,-,-,-,-,-,-,-,-,-,31.85,0.09%,33433,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70.13K,-0.10%,-1.28%,-1.28%,-0.17%,2.24%,-0.26%,0.42%,0.36%,-,70.13K,0.48,-,0.13,-0.37%,-0.66%,-0.82%,-2.78%,3.37%,44.62,-0.04%,0.13%
6089,9,6090,QARP,Xtrackers Russell 1000 US QARP ETF,Financial,Exchange Traded Fund,USA,-,-,40.34,-0.01%,2784,6090,-,1.36%,-,-,-,-,-,-,-,-,-,-,-,40.34,-0.01%,2784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.76K,0.73%,-2.71%,-0.63%,5.57%,31.30%,19.38%,0.67%,0.71%,-,4.76K,0.59,-,0.40,-0.46%,-1.58%,5.31%,-3.89%,40.44%,47.03,-0.08%,0.07%
6090,10,6091,QAT,iShares MSCI Qatar ETF,Financial,Exchange Traded Fund,USA,-,-,20.65,-0.29%,77372,6091,-,2.18%,-,-,-,-,-,-,-,-,-,-,-,20.65,-0.29%,77372,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.53K,1.82%,5.15%,7.95%,9.78%,18.07%,11.92%,0.91%,0.53%,-,12.53K,6.18,-,0.15,3.06%,5.06%,8.18%,-0.48%,21.83%,78.09,-0.96%,0.68%
6091,11,6092,QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,Financial,Exchange Traded Fund,USA,-,-,62.79,-0.87%,140739,6092,-,0.14%,-,-,-,-,-,-,-,-,-,-,-,62.79,-0.87%,140739,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,261.64K,-0.11%,-4.70%,-6.83%,-4.40%,28.35%,-10.59%,2.37%,2.33%,-,261.64K,0.54,-,1.59,-1.52%,-3.81%,-8.20%,-30.23%,35.38%,45.40,-1.29%,0.43%
6092,12,6093,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,USA,143.05B,15.80,126.55,-1.01%,6872492,6093,143.05B,2.15%,24.70%,126.70%,24.30%,1.70,1.40,1.67,1.92,59.80%,31.50%,28.30%,Jul 28/a,126.55,-1.01%,6872492,15.80,13.72,0.49,4.39,17.48,11.08,22.28,25.80%,11.64%,7.10%,32.19%,-3.00%,1.13B,1.13B,0.13%,-1.70%,74.30%,-0.99%,1.30%,2.06,7.09M,-1.68%,-10.62%,-11.17%,-7.92%,3.44%,-16.93%,2.32%,2.13%,2.00,7.09M,0.97,1.35,2.77,-4.97%,-10.01%,-9.85%,-24.65%,4.54%,25.68,-1.35%,0.34%
6093,13,6094,QCRH,"QCR Holdings, Inc.",Financial,Banks - Regional,USA,820.63M,11.05,52.47,0.42%,37458,6094,820.63M,0.46%,1.30%,12.60%,19.60%,-,-,0.24,0.24,-,83.20%,38.50%,Jul 26/a,52.47,0.42%,37458,11.05,9.75,1.11,4.16,1.32,2.29,8.67,5.60%,-7.19%,18.70%,10.00%,17.10%,15.81M,15.18M,0.30%,-0.47%,70.40%,1.23%,1.61%,4.59,53.30K,1.16%,4.38%,11.45%,8.07%,70.75%,32.53%,1.78%,2.04%,1.80,53.30K,0.70,1.15,1.06,2.36%,3.74%,12.55%,-1.65%,89.70%,59.84,0.67%,-0.25%
